"Add to Cart","Aggiungi al carrello"
"Price","Prezzo"
"Add to Cart","Aggiungi al carrello"
"Add to Cart the Selected Box","Compra il Boxma Selezionato"
"As low as","Prezzo scontato"
"Regular price","Prezzo originale"

